School Name,Location,Sector,Address,Postal Code,Latitude,Longitude,Scores of 40+,Median Score,Satisfactory completions of VCE,Satisfactory completions of VET
Catholic Regional College Sydenham,"Sydenham VIC, Melbourne Western Suburbs",Catholic,380 Sydenham Rd Sydenham Victoria 3037,3037,-37.69986955,144.77074749373548,2%,27,99%,85%
Mullauna College,"Mitcham VIC, Melbourne Eastern Suburbs",Government,456 Springfield Rd Mitcham Victoria 3132,3132,-37.8080554,145.19079778549195,5%,31,87%,79%
St Columba's College,"Essendon VIC, Melbourne Western Suburbs",Catholic,2 Leslie Rd Essendon Victoria 3040,3040,-37.757473250000004,144.91418403547897,8%,31,100%,90%
John Monash Science School,"Monash University VIC, Melbourne Eastern Suburbs",Government,39 Innovation Walk Monash University Victoria 3800,3800,,,22%,35,99%,100%
Lilydale High School,"Lilydale VIC, Melbourne Eastern Suburbs",Government,25 Melba Ave Lilydale Victoria 3140,3140,-37.759326099999996,145.34557944122093,2%,28,96%,65%
St Aloysius College,"North Melbourne VIC, Melbourne City Central",Catholic,31 Curran St North Melbourne Victoria 3051,3051,-37.7926858,144.9429853481614,9%,30,100%,100%
St Mary's College,"St Kilda East VIC, Melbourne Southern Suburbs & Western Port",Catholic,11 Westbury Street St Kilda East Victoria 3183,3183,-37.86008785,144.99674297864337,6%,31,99%,58%
Academy of Mary Immaculate,"Fitzroy VIC, Melbourne City Central",Catholic,88 Nicholson St Fitzroy Victoria 3065,3065,-37.80364975,144.9745036963941,10%,31,99%,98%
Ave Maria College,"Aberfeldie VIC, Melbourne Western Suburbs",Catholic,14-22 Vida St Aberfeldie Victoria 3040,3040,-37.762028,144.89753,7%,31,100%,91%
Nazareth College,"Noble Park North VIC, Melbourne Southern Suburbs & Western Port",Catholic,Manning Drive Noble Park North Victoria 3174,3174,-37.9412839,145.1952061,4%,28,98%,78%
North Geelong Secondary College,"North Geelong VIC, Barwon-South Western",Government,130 Separation St North Geelong Victoria 3215,3215,-38.1112701,144.3502939,4%,28,100%,85%
SEDA College Victoria,"Camberwell VIC, Melbourne Eastern Suburbs",Independent,357 Camberwell Road Camberwell Victoria 3124,3124,-37.8340643,145.060751741641,,,100%,95%
St Monica's College - Epping,"Epping VIC, Melbourne City Central",Catholic,400 Dalton Road Epping Victoria 3076,3076,-37.65603985,145.03268540408067,4%,28,100%,94%
Brentwood Secondary College,"Glen Waverley VIC, Melbourne Eastern Suburbs",Government,65-71 Watsons Rd Glen Waverley Victoria 3150,3150,-37.897675,145.1680693746025,5%,30,99%,87%
Camberwell High School,"Canterbury VIC, Melbourne Eastern Suburbs",Government,Prospect Hill Rd Canterbury Victoria 3126,3126,-37.8304604,145.0769235,5%,29,100%,91%
Hume Central Secondary College,"Broadmeadows VIC, Melbourne Northern Suburbs",Government,Blair Street (7-9) Campus; 64-70 Blair Street Broadmeadows Victoria 3047,3047,,,1%,26,99%,63%
Luther College,"Croydon Hills VIC, Melbourne Eastern Suburbs",Independent,1 - 39 Plymouth Rd Croydon Hills Victoria 3136,3136,-37.7832848,145.2716446,12%,32,100%,94%
Mill Park Secondary College,"Epping VIC, Melbourne Northern Suburbs",Government,9-25 Moorhead Drive Mill Park Victoria 3082,3082,-37.664532550000004,145.06192112501225,2%,26,97%,73%
Mount St Joseph Girls' College,"Altona VIC, Melbourne Western Suburbs",Catholic,133 Maidstone St Altona Victoria 3018,3018,-37.86416235,144.81108084560347,8%,30,99%,98%
Nossal High School,"Berwick VIC, Melbourne Southern Suburbs & Western Port",Government,40 Sir Gustav Nossal Blvd Berwick Victoria 3806,3806,-38.038183700000005,145.33542416956882,27%,36,100%,63%
Sacred Heart Girls' College,"Hughesdale VIC, Melbourne Eastern Suburbs",Catholic,113 Warrigal Rd Hughesdale Victoria 3166,3166,-37.9012637,145.0866238,8%,32,100%,97%
Essendon Keilor College,"Essendon VIC, Melbourne Western Suburbs",Government,82 Quinn Gr Keilor East Victoria 3033,3033,-37.74151395,144.87190401636633,2%,25,94%,65%
